"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-07-25 13:00:00",121,-3.035,-0.83
"2026-07-25 14:00:00",122,-4.2,-0.381
"2026-07-25 15:00:00",123,-4.264,0.336
"2026-07-25 16:00:00",124,-4.797,0.526
"2026-07-25 17:00:00",125,-3.708,1.368
"2026-07-25 18:00:00",126,-2.449,0.742
"2026-07-25 19:00:00",127,-4.769,-0.684
"2026-07-25 20:00:00",128,-2.882,-0.181
"2026-07-25 21:00:00",129,-1.72,0.356
"2026-07-25 22:00:00",130,-1.859,0.489
"2026-07-25 23:00:00",131,-1.65,0.055
"2026-07-26 00:00:00",132,-0.271,0.747
"2026-07-26 01:00:00",133,-1.352,-0.183
"2026-07-26 02:00:00",134,-1.565,-0.324
"2026-07-26 03:00:00",135,-2.216,-0.211
"2026-07-26 04:00:00",136,-2.429,0.367
"2026-07-26 05:00:00",137,-1.551,0.262
"2026-07-26 06:00:00",138,-1.811,-0.47
"2026-07-26 07:00:00",139,-1.529,1.63
"2026-07-26 08:00:00",140,-2.918,0.548
"2026-07-26 09:00:00",141,-2.465,-0.397
"2026-07-26 10:00:00",142,-1.787,-0.851
"2026-07-26 11:00:00",143,-1.067,-1.579
"2026-07-26 12:00:00",144,-2.833,-1.357
"2026-07-26 13:00:00",145,-2.467,-1.612
"2026-07-26 14:00:00",146,-3.524,0.278
"2026-07-26 15:00:00",147,-5.332,0.357
"2026-07-26 16:00:00",148,-4.401,1.214
"2026-07-26 17:00:00",149,-5.429,0.245
"2026-07-26 18:00:00",150,-3.348,1.344
"2026-07-26 19:00:00",151,-4.225,0.184
"2026-07-26 20:00:00",152,-4.964,-0.364
"2026-07-26 21:00:00",153,-2.618,0.755
"2026-07-26 22:00:00",154,-1.03,-0.3
"2026-07-26 23:00:00",155,-0.513,-0.149
"2026-07-27 00:00:00",156,-0.816,0.718
"2026-07-27 01:00:00",157,-1.696,0.436
"2026-07-27 02:00:00",158,-2.165,0.376
"2026-07-27 03:00:00",159,-2.54,-0.053
"2026-07-27 04:00:00",160,-3.503,0.102
"2026-07-27 05:00:00",161,-1.905,-0.545
"2026-07-27 06:00:00",162,-1.61,-0.233
"2026-07-27 07:00:00",163,-2.5,0.185
"2026-07-27 08:00:00",164,-3.21,-1.45
"2026-07-27 09:00:00",165,-1.859,-0.036
"2026-07-27 10:00:00",166,-2.259,0.616
"2026-07-27 11:00:00",167,-1.119,-0.304
"2026-07-27 12:00:00",168,-3.495,-0.203
"2026-07-27 13:00:00",169,-3.001,-1.021
