ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2026-08-25T19:14:14.000Z,8.14,84.26,17.01,0.00
2026-08-25T19:29:14.000Z,9.03,87.37,13.86,0.00
2026-08-25T19:44:14.000Z,9.07,87.02,13.47,0.00
2026-08-25T19:59:14.000Z,9.10,87.27,13.43,0.00
2026-08-25T20:14:14.000Z,8.73,83.36,13.23,0.00
2026-08-25T20:29:14.000Z,8.96,85.05,12.96,0.00
2026-08-25T20:44:14.000Z,9.02,85.49,12.93,0.00
2026-08-25T20:59:14.000Z,9.04,85.72,12.94,0.00
2026-08-25T21:14:14.000Z,8.99,85.33,12.96,0.00
2026-08-25T21:29:14.000Z,9.00,85.17,12.86,0.00
2026-08-25T21:44:14.000Z,9.05,85.71,12.90,0.00
2026-08-25T21:59:14.000Z,8.96,85.18,13.03,0.00
2026-08-25T22:14:14.000Z,9.09,86.82,13.25,0.00
2026-08-25T22:29:14.000Z,9.02,85.74,13.06,0.00
2026-08-25T22:44:14.000Z,9.04,86.05,13.12,0.00
2026-08-25T22:59:14.000Z,9.04,86.18,13.15,0.00
2026-08-25T23:14:14.000Z,9.03,85.67,12.94,0.00
2026-08-25T23:29:14.000Z,8.96,84.44,12.68,0.00
2026-08-25T23:44:14.000Z,8.88,83.45,12.55,0.00
2026-08-25T23:59:14.000Z,8.98,84.84,12.79,0.00
2026-08-26T00:14:14.000Z,8.91,84.05,12.70,0.00
2026-08-26T00:29:14.000Z,8.98,85.10,12.91,0.00
2026-08-26T00:44:14.000Z,8.99,85.75,13.21,0.00
2026-08-26T00:59:14.000Z,8.96,84.84,12.86,0.00
2026-08-26T01:14:14.000Z,9.06,86.28,13.14,0.00
2026-08-26T01:29:14.000Z,8.97,85.39,13.10,0.00
2026-08-26T01:44:14.000Z,8.92,84.09,12.65,0.00
2026-08-26T01:59:14.000Z,8.94,83.93,12.51,0.00
2026-08-26T02:14:14.000Z,8.88,83.27,12.43,0.00
2026-08-26T02:29:14.000Z,8.92,83.46,12.34,0.00
2026-08-26T02:44:14.000Z,8.95,83.86,12.42,0.00
2026-08-26T02:59:14.000Z,8.96,84.23,12.56,0.00
2026-08-26T03:14:14.000Z,8.91,83.68,12.49,0.00
2026-08-26T03:29:14.000Z,8.93,83.87,12.53,0.00
2026-08-26T03:44:14.000Z,9.02,85.03,12.66,0.00
2026-08-26T03:59:14.000Z,9.00,85.25,12.86,0.00
2026-08-26T04:14:14.000Z,8.96,84.77,12.81,0.00
2026-08-26T04:29:14.000Z,9.05,85.78,12.93,0.00
2026-08-26T04:44:14.000Z,9.00,85.40,12.95,0.00
2026-08-26T04:59:14.000Z,9.03,85.62,12.95,0.00
2026-08-26T05:14:14.000Z,9.03,85.63,12.93,0.00
2026-08-26T05:29:14.000Z,9.03,85.78,13.00,0.00
