ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2026-08-11T14:54:29.000Z,7.50,94.98,27.50,0.00
2026-08-11T15:09:29.000Z,7.42,95.12,28.15,0.00
2026-08-11T15:24:29.000Z,7.34,95.59,29.06,0.00
2026-08-11T15:39:29.000Z,7.26,95.96,29.92,0.00
2026-08-11T15:54:29.000Z,7.19,96.86,31.04,0.00
2026-08-11T16:09:29.000Z,7.01,96.10,32.01,0.00
2026-08-11T16:24:29.000Z,6.79,94.90,33.17,0.00
2026-08-11T16:39:29.000Z,6.80,95.43,33.41,0.00
2026-08-11T16:54:29.000Z,6.89,97.36,33.88,0.00
2026-08-11T17:09:29.000Z,6.84,97.32,34.22,0.00
2026-08-11T17:24:29.000Z,6.89,95.20,32.54,0.00
2026-08-11T17:39:29.000Z,7.95,104.47,29.54,0.00
2026-08-11T17:54:29.000Z,6.79,95.10,33.29,0.00
2026-08-11T18:09:29.000Z,7.12,95.24,30.57,0.00
2026-08-11T18:24:29.000Z,6.96,100.20,34.99,0.00
2026-08-11T18:39:29.000Z,7.51,101.37,31.12,0.00
2026-08-11T18:54:29.000Z,7.38,107.81,35.86,0.00
2026-08-11T19:09:29.000Z,6.61,98.93,37.36,0.00
2026-08-11T19:24:29.000Z,6.77,95.36,33.63,0.00
2026-08-11T19:39:29.000Z,7.13,95.05,30.38,0.00
2026-08-11T19:54:29.000Z,7.40,95.35,28.42,0.00
2026-08-11T20:09:29.000Z,7.63,97.60,28.01,0.00
2026-08-11T20:24:29.000Z,7.44,95.12,28.04,0.00
2026-08-11T20:39:29.000Z,7.51,95.08,27.44,0.00
2026-08-11T20:54:29.000Z,7.61,95.75,27.10,0.00
2026-08-11T21:09:29.000Z,7.53,94.31,26.83,0.00
2026-08-11T21:24:29.000Z,7.69,94.39,25.75,0.00
2026-08-11T21:39:29.000Z,7.66,94.80,26.20,0.00
2026-08-11T21:54:29.000Z,7.63,94.29,26.09,0.00
2026-08-11T22:09:29.000Z,7.62,93.75,25.88,0.00
2026-08-11T22:24:29.000Z,7.77,93.45,24.64,0.00
2026-08-11T22:39:29.000Z,7.84,93.32,24.09,0.00
2026-08-11T22:54:29.000Z,7.93,93.06,23.33,0.00
2026-08-11T23:09:29.000Z,8.04,92.85,22.46,0.00
2026-08-11T23:24:29.000Z,8.18,93.12,21.72,0.00
2026-08-11T23:39:29.000Z,8.20,93.67,21.90,0.00
2026-08-11T23:54:29.000Z,8.18,93.95,22.20,0.00
2026-08-12T00:09:29.000Z,8.15,93.73,22.26,0.00
2026-08-12T00:24:29.000Z,8.17,93.76,22.14,0.00
2026-08-12T00:39:29.000Z,8.18,93.63,21.99,0.00
2026-08-12T00:54:29.000Z,8.20,93.74,21.91,0.00
2026-08-12T01:09:29.000Z,8.23,93.87,21.81,0.00
2026-08-12T01:24:29.000Z,8.23,93.77,21.78,0.00
2026-08-12T01:39:29.000Z,8.24,93.68,21.67,0.00
2026-08-12T01:54:29.000Z,8.25,93.61,21.57,0.00
2026-08-12T02:09:29.000Z,8.27,93.50,21.35,0.00
2026-08-12T02:24:29.000Z,8.30,93.48,21.20,0.00
2026-08-12T02:39:29.000Z,8.30,93.42,21.13,0.00
2026-08-12T02:54:29.000Z,8.32,93.38,20.98,0.00
2026-08-12T03:09:29.000Z,8.34,93.29,20.81,0.00
2026-08-12T03:24:29.000Z,8.36,93.19,20.65,0.00
2026-08-12T03:39:29.000Z,8.37,93.03,20.48,0.00
2026-08-12T03:54:29.000Z,8.41,93.17,20.36,0.00
2026-08-12T04:09:29.000Z,8.42,93.10,20.25,0.00
2026-08-12T04:24:29.000Z,8.42,92.93,20.13,0.00
2026-08-12T04:39:29.000Z,8.45,93.02,20.02,0.00
2026-08-12T04:54:29.000Z,8.45,93.12,20.04,0.00
2026-08-12T05:09:29.000Z,8.45,93.04,20.05,0.00
2026-08-12T05:24:29.000Z,8.46,92.81,19.85,0.00
2026-08-12T05:39:29.000Z,8.50,92.82,19.63,0.00
2026-08-12T05:54:29.000Z,8.53,92.64,19.31,0.00
2026-08-12T06:09:29.000Z,8.58,92.71,19.08,0.00
2026-08-12T06:24:29.000Z,8.59,92.59,18.95,0.00
2026-08-12T06:39:29.000Z,8.62,92.79,18.89,0.00
2026-08-12T06:54:29.000Z,8.64,92.54,18.67,0.00
2026-08-12T07:09:29.000Z,8.66,92.38,18.43,0.00
2026-08-12T07:24:29.000Z,8.70,92.43,18.26,0.00
2026-08-12T07:39:29.000Z,8.71,92.24,18.09,0.00
2026-08-12T07:54:29.000Z,8.74,92.35,18.01,0.00
2026-08-12T08:09:29.000Z,8.75,92.43,17.94,0.00
2026-08-12T08:24:29.000Z,8.75,92.43,17.96,0.00
2026-08-12T08:39:29.000Z,8.75,92.47,17.98,0.00
2026-08-12T08:54:29.000Z,8.76,92.47,17.95,0.00
2026-08-12T09:09:29.000Z,8.75,92.62,18.09,0.00
2026-08-12T09:24:29.000Z,8.70,92.59,18.31,0.00
2026-08-12T09:39:29.000Z,8.69,92.51,18.37,0.00
2026-08-12T09:54:29.000Z,8.71,92.55,18.24,0.00
2026-08-12T10:09:29.000Z,8.67,92.86,18.65,0.00
2026-08-12T10:24:29.000Z,8.52,93.26,19.71,0.00
2026-08-12T10:39:29.000Z,8.39,93.31,20.52,0.00
2026-08-12T10:54:29.000Z,8.29,93.83,21.43,0.00
2026-08-12T11:09:29.000Z,8.03,93.15,22.71,0.00
2026-08-12T11:24:29.000Z,7.93,92.82,23.17,0.00
2026-08-12T11:39:29.000Z,7.93,93.49,23.58,0.00
2026-08-12T11:54:29.000Z,7.84,94.24,24.60,0.00
2026-08-12T12:09:29.000Z,7.70,92.50,24.54,0.00
2026-08-12T12:24:29.000Z,8.09,93.48,22.53,0.00
2026-08-12T12:39:29.000Z,8.08,93.87,22.79,0.00
2026-08-12T12:54:29.000Z,8.04,94.83,23.60,0.00
2026-08-12T13:09:29.000Z,8.79,113.71,28.68,0.00
2026-08-12T13:24:29.000Z,8.19,112.92,32.39,0.00
2026-08-12T13:39:29.000Z,8.07,111.80,32.68,0.00
2026-08-12T13:54:29.000Z,7.43,95.57,28.36,0.00
2026-08-12T14:09:29.000Z,7.53,96.75,28.32,0.00
2026-08-12T14:24:29.000Z,7.36,96.72,29.56,0.00
2026-08-12T14:39:29.000Z,7.38,95.92,28.96,0.00
2026-08-12T14:54:29.000Z,7.90,98.46,26.60,0.00
2026-08-12T15:09:29.000Z,7.50,96.36,28.30,0.00
2026-08-12T15:24:29.000Z,7.31,95.79,29.43,0.00
2026-08-12T15:39:29.000Z,7.13,95.51,30.68,0.00
2026-08-12T15:54:29.000Z,7.05,95.32,31.20,0.00
2026-08-12T16:09:29.000Z,7.06,95.78,31.41,0.00
2026-08-12T16:24:29.000Z,7.21,99.46,32.38,0.00
2026-08-12T16:39:29.000Z,7.37,103.99,33.80,0.00
2026-08-12T16:54:29.000Z,7.22,107.42,36.98,0.00
2026-08-12T17:09:29.000Z,6.73,91.76,31.69,0.00
2026-08-12T17:24:29.000Z,7.13,95.79,30.88,0.00
2026-08-12T17:39:29.000Z,7.24,93.39,28.54,0.00
2026-08-12T17:54:29.000Z,7.09,90.54,27.96,0.00
2026-08-12T18:09:29.000Z,7.30,93.94,28.33,0.00
2026-08-12T18:24:29.000Z,6.94,94.70,31.76,0.00
2026-08-12T18:39:29.000Z,6.51,92.64,34.32,0.00
2026-08-12T18:54:29.000Z,6.41,93.44,35.71,0.00
2026-08-12T19:09:29.000Z,6.41,93.03,35.43,0.00
2026-08-12T19:24:29.000Z,6.55,91.40,33.14,0.00
