ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2026-08-04T02:46:39.000,8.10,95.90,23.80,0
2026-08-04T03:01:39.000,8.07,95.47,23.73,0
2026-08-04T03:16:39.000,8.16,95.72,23.32,0
2026-08-04T03:31:39.000,8.18,95.74,23.17,1
2026-08-04T03:46:39.000,8.21,95.93,23.10,0
2026-08-04T04:01:39.000,8.22,96.02,23.04,0
2026-08-04T04:16:39.000,8.22,95.86,23.00,0
2026-08-04T04:31:39.000,8.21,95.70,22.98,0
2026-08-04T04:46:39.000,8.24,96.00,22.95,0
2026-08-04T05:01:39.000,8.23,95.83,22.93,0
2026-08-04T05:16:39.000,8.26,96.15,22.91,1
2026-08-04T05:31:39.000,8.24,95.96,22.89,0
2026-08-04T05:46:39.000,8.24,95.94,22.88,1
2026-08-04T06:01:39.000,8.27,96.21,22.87,0
2026-08-04T06:16:39.000,8.26,96.11,22.86,0
2026-08-04T06:31:39.000,8.27,96.16,22.84,0
2026-08-04T06:46:39.000,8.27,96.17,22.84,0
2026-08-04T07:01:39.000,8.30,96.45,22.83,0
2026-08-04T07:16:39.000,8.27,96.13,22.82,0
2026-08-04T07:31:39.000,8.27,96.07,22.81,0
2026-08-04T07:46:39.000,8.29,96.31,22.80,0
2026-08-04T08:01:39.000,8.28,96.18,22.80,0
2026-08-04T08:16:39.000,8.28,96.22,22.79,0
2026-08-04T08:31:39.000,8.29,96.31,22.79,0
2026-08-04T08:46:39.000,8.29,96.27,22.79,0
2026-08-04T09:01:39.000,8.30,96.41,22.78,0
2026-08-04T09:16:39.000,8.30,96.36,22.77,0
2026-08-04T09:31:39.000,8.29,96.32,22.77,0
2026-08-04T09:46:39.000,8.29,96.32,22.79,0
2026-08-04T10:01:39.000,8.30,96.46,22.81,0
2026-08-04T10:16:39.000,8.27,96.38,22.93,0
2026-08-04T10:31:39.000,8.26,96.51,23.06,0
2026-08-04T10:46:39.000,8.23,96.39,23.21,0
2026-08-04T11:01:39.000,8.21,96.42,23.36,0
2026-08-04T11:16:39.000,8.20,96.55,23.51,0
2026-08-04T11:31:39.000,8.21,96.56,23.46,0
2026-08-04T11:46:39.000,8.27,96.74,23.11,0
2026-08-04T12:01:39.000,8.31,96.79,22.93,0
2026-08-04T12:16:39.000,8.33,96.78,22.82,0
2026-08-04T12:31:39.000,8.34,96.98,22.85,0
2026-08-04T12:46:39.000,8.30,96.67,22.91,0
2026-08-04T13:01:39.000,8.31,97.04,23.07,0
2026-08-04T13:16:39.000,8.27,96.95,23.27,0
2026-08-04T13:31:39.000,8.25,96.80,23.31,0
2026-08-04T13:46:39.000,8.23,96.83,23.45,0
2026-08-04T14:01:39.000,8.20,96.84,23.62,0
2026-08-04T14:16:39.000,8.22,96.95,23.61,0
2026-08-04T14:31:39.000,8.23,97.05,23.60,0
2026-08-04T14:46:39.000,8.24,97.01,23.49,0
2026-08-04T15:01:39.000,8.23,96.77,23.43,0
2026-08-04T15:16:39.000,8.25,96.94,23.36,0
2026-08-04T15:31:39.000,8.26,96.96,23.36,0
2026-08-04T15:46:39.000,8.28,97.02,23.21,0
2026-08-04T16:01:39.000,8.26,96.78,23.23,0
2026-08-04T16:16:39.000,8.27,96.82,23.20,0
2026-08-04T16:31:39.000,8.29,97.05,23.18,0
2026-08-04T16:46:39.000,8.29,96.91,23.13,0
2026-08-04T17:01:39.000,8.29,96.97,23.16,0
2026-08-04T17:16:39.000,8.29,97.07,23.18,0
2026-08-04T17:31:39.000,8.31,96.91,22.97,0
2026-08-04T17:46:39.000,8.30,96.79,22.98,0
2026-08-04T18:01:39.000,8.29,96.91,23.13,0
2026-08-04T18:16:39.000,8.28,96.74,23.06,0
2026-08-04T18:31:39.000,8.29,97.03,23.14,0
2026-08-04T18:46:39.000,8.29,97.19,23.24,1
2026-08-04T19:01:39.000,8.29,96.98,23.16,0
2026-08-04T19:16:39.000,8.27,97.07,23.31,0
2026-08-04T19:31:39.000,8.20,96.92,23.72,0
2026-08-04T19:46:39.000,8.17,97.00,23.96,0
2026-08-04T20:01:39.000,8.13,96.96,24.18,0
2026-08-04T20:16:39.000,8.10,96.98,24.36,0
2026-08-04T20:31:39.000,8.08,97.06,24.57,0
2026-08-04T20:46:39.000,8.04,96.93,24.77,0
2026-08-04T21:01:39.000,8.02,97.10,24.96,0
2026-08-04T21:16:39.000,8.00,97.07,25.14,0
2026-08-04T21:31:39.000,7.96,96.96,25.32,0
2026-08-04T21:46:39.000,7.94,97.00,25.48,0
2026-08-04T22:01:39.000,7.91,96.88,25.64,0
2026-08-04T22:16:39.000,7.89,96.97,25.77,0
2026-08-04T22:31:39.000,7.87,96.88,25.91,0
2026-08-04T22:46:39.000,7.88,97.09,25.97,0
2026-08-04T23:01:39.000,7.87,97.05,26.01,0
2026-08-04T23:16:39.000,7.85,96.92,26.05,0
2026-08-04T23:31:39.000,7.85,96.91,26.06,0
2026-08-04T23:46:39.000,7.84,96.92,26.10,0
2026-08-05T00:01:39.000,7.84,96.95,26.12,0
2026-08-05T00:16:39.000,7.84,96.94,26.14,0
2026-08-05T00:31:39.000,7.84,96.93,26.16,0
2026-08-05T00:46:39.000,7.84,96.97,26.17,0
2026-08-05T01:01:39.000,7.85,97.21,26.19,0
2026-08-05T01:16:39.000,7.84,97.10,26.21,0
2026-08-05T01:31:39.000,7.83,97.04,26.23,0
2026-08-05T01:46:39.000,7.84,97.06,26.24,0
2026-08-05T02:01:39.000,7.82,96.99,26.27,0
2026-08-05T02:16:39.000,7.82,96.97,26.30,0
2026-08-05T02:31:39.000,7.82,96.96,26.30,0
2026-08-05T02:46:39.000,7.82,96.97,26.32,0
2026-08-05T03:01:39.000,7.82,97.06,26.33,0
2026-08-05T03:16:39.000,7.82,97.08,26.36,0
2026-08-05T03:31:39.000,7.83,97.19,26.38,0
2026-08-05T03:46:39.000,7.80,96.95,26.39,0
2026-08-05T04:01:39.000,7.82,97.17,26.42,0
2026-08-05T04:16:39.000,7.82,97.17,26.42,0
2026-08-05T04:31:39.000,7.80,96.96,26.45,0
2026-08-05T04:46:39.000,7.81,97.12,26.46,0
2026-08-05T05:01:39.000,7.80,97.03,26.49,0
2026-08-05T05:16:39.000,7.80,97.14,26.50,0
2026-08-05T05:31:39.000,7.80,97.14,26.52,0
2026-08-05T05:46:39.000,7.79,97.10,26.55,0
