ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2026-08-11T14:55:04.000,7.62,96.54,27.51,0
2026-08-11T15:10:04.000,7.52,96.76,28.40,0
2026-08-11T15:25:04.000,7.36,96.82,29.61,0
2026-08-11T15:40:04.000,7.34,98.33,30.68,0
2026-08-11T15:55:04.000,7.01,96.50,32.25,0
2026-08-11T16:10:04.000,6.84,95.22,32.98,0
2026-08-11T16:25:04.000,6.86,95.53,32.94,0
2026-08-11T16:40:04.000,6.88,96.11,33.14,0
2026-08-11T16:55:04.000,6.89,97.17,33.74,0
2026-08-11T17:10:04.000,6.85,97.15,34.07,0
2026-08-11T17:25:04.000,6.98,95.64,32.03,0
2026-08-11T17:40:04.000,7.93,99.98,29.92,0
2026-08-11T17:55:04.000,6.94,95.63,32.36,0
2026-08-11T18:10:04.000,7.23,95.78,30.04,0
2026-08-11T18:25:04.000,7.05,98.21,32.98,0
2026-08-11T18:40:04.000,7.42,98.87,30.34,0
2026-08-11T18:55:04.000,7.10,97.52,32.18,0
2026-08-11T19:10:04.000,6.67,97.28,35.78,0
2026-08-11T19:25:04.000,6.85,95.54,33.08,0
2026-08-11T19:40:04.000,7.25,95.89,29.93,0
2026-08-11T19:55:04.000,7.72,99.02,28.20,0
2026-08-11T20:10:04.000,7.60,97.61,28.26,0
2026-08-11T20:25:04.000,7.55,96.39,27.93,0
2026-08-11T20:40:04.000,7.60,95.85,27.25,0
2026-08-11T20:55:04.000,7.71,96.85,27.00,0
2026-08-11T21:10:04.000,7.67,95.77,26.65,0
2026-08-11T21:25:04.000,7.82,95.80,25.62,0
2026-08-11T21:40:04.000,7.78,96.04,26.01,0
2026-08-11T21:55:04.000,7.78,95.76,25.88,0
2026-08-11T22:10:04.000,7.82,95.89,25.70,0
2026-08-11T22:25:04.000,7.93,95.25,24.57,0
2026-08-11T22:40:04.000,8.03,95.48,24.00,0
2026-08-11T22:55:04.000,8.10,94.90,23.23,0
2026-08-11T23:10:04.000,8.24,94.93,22.37,0
2026-08-11T23:25:04.000,8.41,95.65,21.68,0
2026-08-11T23:40:04.000,8.41,95.93,21.82,0
2026-08-11T23:55:04.000,8.38,96.07,22.08,0
2026-08-12T00:10:04.000,8.37,96.02,22.15,0
2026-08-12T00:25:04.000,8.38,96.02,22.03,0
2026-08-12T00:40:04.000,8.39,95.83,21.89,0
2026-08-12T00:55:04.000,8.41,95.86,21.81,0
2026-08-12T01:10:04.000,8.43,95.96,21.70,0
2026-08-12T01:25:04.000,8.42,95.82,21.70,0
2026-08-12T01:40:04.000,8.43,95.71,21.57,0
2026-08-12T01:55:04.000,8.48,96.04,21.47,0
2026-08-12T02:10:04.000,8.49,95.81,21.26,0
2026-08-12T02:25:04.000,8.53,96.00,21.13,0
2026-08-12T02:40:04.000,8.53,95.85,21.04,0
2026-08-12T02:55:04.000,8.54,95.65,20.91,0
