		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/10/25	4:00 p	47.2	47.5	47.0	86	43.2	2.6	W	2.61	13.9	WSW	46.5	47.2	46.5	---	29.660	0.21	0.44	190	16.34	190	1.3	0.56	1.3	0.742	0.000	59.7	56	44.0	58.1	10.45	 .0750	0.000	420	1	30.7	60
05/10/25	5:00 p	46.9	47.2	46.7	86	42.9	0.9	W	0.87	6.1	SSW	46.9	46.9	46.9	---	29.642	0.29	0.45	190	16.34	190	1.3	0.56	1.3	0.754	0.000	60.0	56	44.3	58.4	10.45	 .0749	0.000	491	1	35.9	60
05/10/25	6:00 p	46.4	46.8	46.2	86	42.4	1.7	W	1.74	12.2	WSW	46.4	46.4	46.4	---	29.630	0.22	0.31	190	16.34	190	1.3	0.56	1.3	0.775	0.000	60.4	56	44.6	58.8	10.45	 .0748	0.000	496	1	36.3	60
05/10/25	7:00 p	46.8	47.5	46.4	85	42.5	3.5	SW	3.48	11.3	W	45.2	46.8	45.2	---	29.639	0.14	0.19	190	16.34	190	1.3	0.56	1.3	0.758	0.000	60.5	56	44.7	58.9	10.45	 .0748	0.000	459	1	33.6	60
05/10/25	8:00 p	48.1	48.7	47.5	85	43.8	2.6	WSW	2.61	13.0	SSW	47.5	48.1	47.5	---	29.663	0.08	0.15	190	16.34	190	1.3	0.56	1.3	0.704	0.000	60.7	56	44.9	59.1	10.45	 .0748	0.000	457	1	33.4	60
05/10/25	9:00 p	49.7	51.1	48.6	86	45.7	0.0	SW	0.00	4.3	SW	49.7	49.8	49.8	---	29.685	0.01	0.05	190	16.34	190	1.3	0.56	1.3	0.637	0.000	61.0	56	45.2	59.4	10.45	 .0748	0.000	469	1	34.3	60
05/10/25	10:00 p	51.0	52.0	50.0	86	47.0	0.0	W	0.00	6.1	WSW	51.0	51.0	51.0	---	29.711	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.583	0.000	61.2	56	45.4	59.6	10.45	 .0749	0.000	473	1	34.6	60
05/10/25	11:00 p	53.5	54.1	51.9	84	48.8	3.5	ESE	3.48	8.7	S	52.9	53.4	52.8	---	29.738	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.479	0.000	61.1	56	45.3	59.5	10.45	 .0750	0.000	457	1	33.4	60
05/11/25	12:00 a	54.1	54.8	53.7	84	49.4	4.3	ESE	4.35	12.2	E	53.0	54.0	52.9	---	29.763	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.454	0.000	61.0	56	45.2	59.4	10.45	 .0750	0.000	480	1	35.1	60
05/11/25	1:00 a	55.3	55.6	54.8	81	49.6	7.8	ESE	7.83	13.9	WSW	52.2	55.0	51.9	---	29.794	0.01	0.00	190	16.34	190	1.3	0.56	1.3	0.404	0.000	61.0	56	45.2	59.4	10.45	 .0751	0.000	418	1	30.6	60
05/11/25	2:00 a	54.8	55.4	54.2	81	49.1	7.8	ESE	7.83	15.7	S	51.6	54.5	51.3	---	29.816	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.425	0.000	60.8	56	45.0	59.2	10.45	 .0752	0.000	411	1	30.0	60
05/11/25	3:00 a	53.9	54.3	53.5	80	47.9	9.6	ESE	9.57	13.9	ESE	49.3	53.6	49.0	---	29.835	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.462	0.000	60.6	56	44.8	59.0	10.45	 .0753	0.000	396	1	28.9	60
05/11/25	4:00 a	53.1	53.5	52.7	80	47.1	8.7	ESE	8.70	13.9	E	48.9	52.8	48.6	---	29.863	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.496	0.000	60.3	56	44.5	58.7	10.45	 .0754	0.000	390	1	28.5	60
05/11/25	5:00 a	52.2	52.8	51.6	80	46.2	7.0	ESE	6.96	12.2	ESE	49.1	52.0	48.9	---	29.876	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.533	0.000	60.0	56	44.3	58.4	10.45	 .0755	0.000	441	1	32.2	60
05/11/25	6:00 a	51.4	51.7	51.1	80	45.4	5.2	ESE	5.22	8.7	SSE	49.3	51.2	49.1	---	29.882	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.567	0.000	59.8	56	44.1	58.2	10.45	 .0756	0.000	522	1	38.2	60
05/11/25	7:00 a	50.9	51.7	49.4	82	45.6	5.2	ESE	5.22	7.8	ESE	48.8	50.8	48.7	---	29.892	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.587	0.000	59.5	55	43.3	57.8	10.26	 .0756	0.000	532	1	38.9	60
05/11/25	8:00 a	49.5	49.7	49.2	83	44.6	3.5	E	3.48	7.8	ESE	48.3	49.5	48.3	---	29.892	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.646	0.000	59.1	55	42.9	57.4	10.27	 .0757	0.000	583	1	42.6	60
05/11/25	9:00 a	48.5	49.2	47.3	84	43.9	2.6	NE	2.61	7.0	NE	48.0	48.5	48.0	---	29.906	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.688	0.000	58.7	55	42.6	57.0	10.28	 .0758	0.000	578	1	42.3	60
05/11/25	10:00 a	47.8	48.3	47.1	84	43.2	3.5	ENE	3.48	9.6	ENE	46.4	47.8	46.4	---	29.925	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.717	0.000	58.3	55	42.2	56.6	10.28	 .0759	0.000	581	1	42.5	60
05/11/25	11:00 a	51.0	52.2	47.7	79	44.7	7.0	ESE	6.96	13.0	ESE	47.7	50.8	47.5	---	29.943	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.583	0.000	58.5	56	42.8	56.9	10.45	 .0759	0.000	513	1	37.5	60
